147,4,3,6,3,6,2,6,5,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
129,4,3,4,1,4,6,4,5,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
127,4,3,4,1,4,6,4,4,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
143,4,3,6,3,6,5,6,6,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
144,4,3,6,3,6,5,6,7,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
149,4,3,6,3,6,5,6,1,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
143,4,3,6,3,6,5,6,0,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
136,4,3,5,3,5,5,5,6,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
127,4,3,4,2,4,6,4,5,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
133,4,3,4,0,4,6,4,5,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
151,4,3,6,3,6,6,6,5,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
149,4,3,6,3,6,6,6,2,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
154,4,3,7,3,7,5,7,6,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
141,4,3,6,3,6,2,6,6,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
142,4,3,6,3,6,2,6,7,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
119,4,3,4,6,4,1,4,4,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
136,4,3,4,1,4,6,6,6,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
152,4,3,6,3,6,7,6,5,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
141,4,3,4,2,5,2,5,3,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
134,4,3,4,2,5,2,5,4,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
117,4,3,4,6,4,2,4,4,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
150,4,3,6,3,6,5,4,5,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
123,4,3,4,7,4,2,4,4,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
130,4,3,6,3,6,5,3,5,31,5721174,0,100627392,0,-16785744,31,110192304,0,0,0,101175084,0,0,0,-1,0,0,0,12210248,0,-16785760,31,160,
